Bild,Ergebnisse_Loop.thisRepN,Ergebnisse_Loop.thisTrialN,Ergebnisse_Loop.thisN,Ergebnisse_Loop.thisIndex,weiter_Willkommen.keys,weiter_Willkommen.rt,Entscheidung.response,Ergebnisse,Sicherheit_Entscheidung.response,Sicherheit,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,""
,,,,,space,5.486211061477661,,,,,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/45.png,0,0,0,44,,,1,anderer Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/11.png,0,1,1,10,,,1,anderer Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/33.png,0,2,2,32,,,1,anderer Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/41.png,0,3,3,40,,,1,anderer Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/17.png,0,4,4,16,,,1,anderer Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/28.png,0,5,5,27,,,1,anderer Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/27.png,0,6,6,26,,,1,anderer Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/30.png,0,7,7,29,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/8.png,0,8,8,7,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/21.png,0,9,9,20,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/26.png,0,10,10,25,,,2,t-Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/5.png,0,11,11,4,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/23.png,0,12,12,22,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/32.png,0,13,13,31,,,1,anderer Test,4,gar nicht sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/22.png,0,14,14,21,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/4.png,0,15,15,3,,,1,anderer Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/44.png,0,16,16,43,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/35.png,0,17,17,34,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/38.png,0,18,18,37,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/34.png,0,19,19,33,,,1,anderer Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/42.png,0,20,20,41,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/20.png,0,21,21,19,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/24.png,0,22,22,23,,,1,anderer Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/29.png,0,23,23,28,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/43.png,0,24,24,42,,,1,anderer Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/2.png,0,25,25,1,,,1,anderer Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/6.png,0,26,26,5,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/25.png,0,27,27,24,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/37.png,0,28,28,36,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/31.png,0,29,29,30,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/16.png,0,30,30,15,,,2,t-Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/1.png,0,31,31,0,,,1,anderer Test,4,gar nicht sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/7.png,0,32,32,6,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/18.png,0,33,33,17,,,2,t-Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/14.png,0,34,34,13,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/39.png,0,35,35,38,,,1,anderer Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/3.png,0,36,36,2,,,1,anderer Test,2,sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/19.png,0,37,37,18,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/12.png,0,38,38,11,,,1,anderer Test,4,gar nicht sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/15.png,0,39,39,14,,,1,anderer Test,1,sehr sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/40.png,0,40,40,39,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/36.png,0,41,41,35,,,2,t-Test,4,gar nicht sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/9.png,0,42,42,8,,,2,t-Test,3,unsicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/10.png,0,43,43,9,,,2,t-Test,4,gar nicht sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
Tabellen/13.png,0,44,44,12,,,1,anderer Test,4,gar nicht sicher,,,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
,,,,,,,,,,,space,1.6435959339141846,24,001,2022_Feb_14_1853,Experiment_Vorüberlegungen,2021.2.3,59.783176973314745,
